Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,0.000,7.933,9.568,9.237,7.917,5.195,7.485,7.315,9.340,10.186,6.573,14.104,10.822,7.839,3.090,6.886,9.892,5.454,6.675,6.726,11.551,6.145,7.109,9.120,8.627,13.195,4.673,5.157,10.202,2.817,11.072,3.744,2.996,13.583,11.079,12.323,3.126,1.347,9.708,6.372,7.899,10.988,2.350,9.782,6.383,7.459,9.658,11.094,10.211,3.072,8.017,12.191,9.171,8.573,10.088,13.740,1.507,3.140,1.555,7.913,8.337,7.752,6.810,7.091,5.539,5.148,7.178,11.123
1,7.933,0.000,11.196,2.007,7.161,9.845,6.287,9.801,8.688,1.630,4.969,5.866,9.650,6.313,9.528,3.117,4.434,9.244,10.419,10.121,8.460,10.216,4.727,8.743,11.783,7.705,8.949,6.532,5.758,7.356,4.753,8.413,5.389,8.894,7.870,10.404,9.563,5.764,8.005,6.357,7.837,8.271,2.883,8.208,10.115,7.026,11.171,13.171,6.827,3.266,7.659,5.641,8.930,8.322,3.615,7.224,2.535,9.972,6.551,8.143,2.242,9.857,7.138,6.426,8.314,9.884,11.424,7.766
2,9.568,11.196,0.000,8.281,11.185,3.581,6.420,9.709,3.388,7.101,6.158,4.992,1.270,7.253,10.121,8.939,8.385,10.369,10.529,8.059,9.889,9.319,4.976,10.619,9.888,7.345,8.424,11.113,8.101,8.722,6.620,2.872,5.828,5.245,12.610,7.266,6.172,7.128,5.698,7.329,11.167,8.464,7.552,7.346,3.928,5.666,13.041,7.604,5.808,11.740,13.667,4.664,9.226,8.240,5.585,12.493,12.045,9.129,7.755,7.683,10.297,7.861,11.929,12.475,9.078,5.455,3.565,13.770
3,9.237,2.007,8.281,0.000,4.173,4.811,11.366,9.309,10.096,8.802,10.511,9.034,5.289,7.639,7.988,13.697,9.978,4.832,3.167,4.617,7.002,6.007,13.813,4.043,8.668,8.745,11.954,5.773,7.350,10.891,2.748,7.202,6.252,6.704,6.133,4.909,14.325,12.656,12.082,6.203,3.933,14.344,4.875,14.648,13.760,11.206,8.601,6.139,10.736,8.235,4.097,10.185,7.741,7.618,6.671,1.608,8.279,9.355,5.883,6.142,12.277,5.871,7.383,9.776,7.493,7.911,11.406,13.601
4,7.917,7.161,11.185,4.173,0.000,8.101,12.481,10.833,10.725,3.393,9.961,5.732,10.513,1.482,7.638,11.280,6.984,10.771,7.855,1.985,11.779,6.656,5.185,8.809,8.977,5.251,11.484,3.817,3.245,6.232,10.656,6.457,7.978,11.918,6.235,5.153,10.308,7.484,5.437,7.030,3.569,11.608,12.845,11.014,4.605,6.458,8.396,6.326,9.038,12.265,10.711,6.950,8.949,12.571,5.777,4.985,5.184,5.939,4.263,12.419,2.190,6.505,3.065,3.300,8.301,7.888,8.051,6.430
5,5.195,9.845,3.581,4.811,8.101,0.000,9.262,5.873,8.815,7.045,8.184,9.138,5.309,3.444,1.352,8.596,4.409,5.681,10.284,5.430,4.268,9.999,7.296,7.731,8.431,4.065,14.395,10.196,2.999,4.118,6.471,7.114,2.726,6.285,3.877,7.034,9.143,1.643,11.581,8.708,3.553,7.433,7.108,9.712,8.075,8.264,6.491,5.434,10.935,11.850,13.529,8.564,9.063,13.161,5.724,8.788,11.175,8.913,7.639,12.464,1.682,9.629,8.612,12.314,7.356,9.843,9.094,2.661
6,7.485,6.287,6.420,11.366,12.481,9.262,0.000,7.047,6.397,8.728,9.520,6.964,8.657,11.461,2.367,10.334,2.590,6.914,10.183,11.550,8.234,2.361,1.723,10.274,12.178,5.879,6.815,8.768,3.243,12.786,6.111,5.833,1.356,8.334,6.272,5.878,10.601,9.538,13.612,7.499,3.704,4.274,13.025,8.831,5.678,7.181,2.758,5.477,2.419,8.227,7.129,7.438,2.417,9.348,11.719,9.540,9.309,10.164,2.743,8.953,3.071,9.328,7.098,11.449,4.957,8.678,9.655,14.077
7,7.315,9.801,9.709,9.309,10.833,5.873,7.047,0.000,10.915,12.458,2.859,8.294,10.277,13.158,9.154,11.119,3.791,7.254,5.529,8.184,11.322,1.281,10.038,8.868,12.282,5.953,5.031,10.844,11.820,7.783,12.236,7.566,9.590,12.356,7.927,7.890,8.271,9.380,6.657,5.457,4.884,10.680,11.875,6.383,11.125,10.258,12.004,12.832,6.650,8.640,10.740,8.303,3.393,7.806,9.236,10.729,11.913,6.125,12.129,9.017,11.053,2.387,9.638,2.011,8.757,5.598,6.581,5.727
8,9.340,8.688,3.388,10.096,10.725,8.815,6.397,10.915,0.000,5.905,12.435,7.921,5.368,6.728,6.575,7.311,7.203,3.209,3.034,0.834,4.344,7.009,6.100,9.014,10.970,7.517,9.215,13.019,10.598,6.359,10.693,10.576,6.302,12.069,10.648,7.488,7.048,13.437,8.077,6.307,6.880,2.771,4.215,2.003,6.305,3.420,6.892,10.054,7.064,9.452,8.753,10.903,11.609,4.465,7.337,3.714,4.329,8.945,8.850,4.125,7.533,7.758,6.224,7.243,4.582,6.803,4.324,7.971
9,10.186,1.630,7.101,8.802,3.393,7.045,8.728,12.458,5.905,0.000,4.542,7.880,11.651,6.054,8.226,11.929,2.118,8.260,5.898,13.778,5.932,9.467,4.168,9.999,10.466,6.972,5.625,4.980,3.316,8.654,2.626,7.335,8.171,12.969,9.980,10.414,10.762,6.135,4.901,10.775,8.264,10.416,7.835,5.373,8.333,8.034,10.533,10.713,6.965,11.849,5.184,6.105,2.361,7.392,3.193,8.078,7.823,9.341,2.739,8.745,1.408,10.474,8.769,14.205,5.694,9.166,8.494,13.281
